sensor_id,description,unit,info_province,info_municipality,Date,Reading,Temperature
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,27/03/2023 00:00,35,16.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,23/03/2023 12:00,75,15.6
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,21/03/2023 12:00,77,15
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,16/03/2023 00:00,76,9.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,26/01/2023 00:00,41,3.7
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,25/01/2023 18:00,30,11.7
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,16/01/2023 00:00,31,7.2
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,06/08/2023 06:00,20,17.8
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,24/07/2023 06:00,22,21.4
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,17/07/2023 12:00,23,31.8
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,04/07/2023 00:00,25,21.9
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,28/06/2023 00:00,26,23.6
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,21/06/2023 12:00,27,28.5
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,20/05/2023 00:00,28,15
CALC000046,Percentage reservoir volume,%,GIRONA,DARNIUS,30/04/2023 06:00,29,16.1
CALC000120,Percentage reservoir volume,%,TARRAGONA,RIUDECANYES,12/01/2024 06:00,3,1.4
CALC000120,Percentage reservoir volume,%,TARRAGONA,RIUDECANYES,09/11/2023 06:00,4,10.6
CALC000120,Percentage reservoir volume,%,TARRAGONA,RIUDECANYES,12/08/2023 12:00,5,29
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",02/05/2024 18:00,87,
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",02/05/2024 12:00,81,
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",01/05/2024 18:00,82,15.7
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",01/05/2024 06:00,83,11.4
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",01/05/2024 00:00,85,13.2
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",30/04/2024 06:00,84,12.8
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",29/04/2024 12:00,86,12
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",22/04/2024 00:00,88,10.7
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",21/04/2024 12:00,90,13.5
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",20/04/2024 06:00,89,6.9
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",03/01/2024 06:00,100,6.6
CALC000143,Percentage reservoir volume,%,GIRONA,"CELLERA DE TER, LA",20/01/2023 06:00,102,2.9
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,09/09/2023 18:00,32,28.6
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,06/08/2023 18:00,36,25.8
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,04/08/2023 12:00,37,23.5
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,02/08/2023 18:00,38,34.7
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,01/08/2023 00:00,39,23.4
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,30/07/2023 12:00,40,27
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,26/07/2023 18:00,42,28.5
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,25/07/2023 00:00,43,17.9
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,23/07/2023 06:00,44,18.6
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,21/07/2023 12:00,45,27.9
CALC000145,Reservoir volume,hm³,BARCELONA,VILANOVA DE SAU,20/07/2023 00:00,46,25.1
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,02/05/2024 18:00,307,
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,30/04/2024 00:00,306,11.9
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,26/04/2024 12:00,305,13.8
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,23/04/2024 00:00,304,7.6
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,19/04/2024 18:00,303,17.9
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,16/04/2024 06:00,302,10.6
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,12/04/2024 18:00,301,22.1
